day_reported	model_fit	model_fit_low	model_fit_high	data_value	smoothed_value	variable	data_source	model_type
2020-02-25	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-26	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-27	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-28	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-02-29	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-01	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-02	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-03	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-04	NA	NA	NA	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-05	NA	NA	NA	1	NA	deaths	FOPH_online	before_lockdown
2020-03-06	NA	NA	NA	0	NA	deaths	FOPH_online	before_lockdown
2020-03-07	NA	NA	NA	0	NA	deaths	FOPH_online	before_lockdown
2020-03-08	1	0.993439089020781	1.00660424081529	1	1	deaths	FOPH_online	before_lockdown
2020-03-09	1	0.993439089020781	1.00660424081529	0	1.42857142857143	deaths	FOPH_online	before_lockdown
2020-03-10	2.04081632653061	2.02742671228731	2.0542943690108	2	1.85714285714286	deaths	FOPH_online	before_lockdown
2020-03-11	2.41428571428572	2.39844580063589	2.43023023853978	3	2.57142857142857	deaths	FOPH_online	before_lockdown
2020-03-12	3.56043956043956	3.53707983343663	3.583953560705	4	3.57142857142857	deaths	FOPH_online	before_lockdown
2020-03-13	4.96031746031746	4.92777325903165	4.9930765913457	3	4.57142857142857	deaths	FOPH_online	before_lockdown
2020-03-14	5.85142857142858	5.81303786947018	5.89007281482778	5	5.71428571428571	deaths	FOPH_online	before_lockdown
2020-03-15	7.14285714285714	7.09599349300558	7.19003029153781	8	6.42857142857143	deaths	FOPH_online	before_lockdown
2020-03-16	7.23214285714285	7.18469341166814	7.27990567018203	7	7.42857142857143	deaths	FOPH_online	before_lockdown
2020-03-17	8.58412698412699	8.52780729114982	8.64081862591922	10	8.57142857142857	deaths	FOPH_online	before_lockdown
2020-03-18	9.89010989010988	8.84604920876879	11.0573965088832	8	NA	deaths	FOPH_online	before_lockdown
2020-03-19	11.4116652578191	8.89216639888633	14.6450367789817	11	NA	deaths	FOPH_online	before_lockdown
2020-03-20	13.1673060667143	8.67375242190258	19.9888053775579	21	NA	deaths	FOPH_online	before_lockdown
2020-03-21	15.1930454615935	8.24638457379574	27.9914947371654	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-22	17.5304370710694	7.66416470055092	40.097810512949	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-23	20.2274273896954	6.97814933753072	58.6328550758964	NA	NA	deaths	FOPH_online	before_lockdown
2020-03-24	23.3393392958024	6.23446984723588	87.3730681376375	NA	NA	deaths	FOPH_online	before_lockdown
